UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
490230,NA,NA,NA,NA,NA,NA,NA,latest
490249,NA,NA,NA,NA,NA,NA,26,latest
490258,NA,NA,NA,NA,NA,8028,33,latest
490267,NA,NA,NA,NA,NA,NA,13,latest
490276,NA,NA,NA,NA,NA,NA,NA,latest
490285,NA,NA,NA,NA,NA,5250,103,latest
490294,NA,NA,NA,NA,NA,6060,72,latest
490300,NA,NA,NA,NA,NA,9500,42,latest
490319,NA,NA,NA,NA,NA,NA,NA,latest
490328,NA,NA,NA,NA,NA,NA,NA,latest
490337,NA,NA,NA,NA,NA,4750,65,latest
490346,NA,NA,NA,NA,NA,NA,NA,latest
490373,NA,NA,NA,NA,NA,NA,NA,latest
490382,NA,NA,NA,NA,NA,12685,53,latest
490391,NA,NA,NA,NA,NA,NA,NA,latest
490407,NA,NA,NA,NA,NA,10083,133,latest
490416,NA,NA,NA,NA,NA,NA,23,latest
490425,NA,NA,NA,NA,NA,7917,58,latest
490434,NA,NA,NA,NA,NA,NA,NA,latest
490443,NA,NA,NA,NA,NA,6333,62,latest
490452,NA,NA,NA,NA,NA,9500,29,latest
490461,NA,NA,NA,NA,NA,NA,NA,latest
490470,NA,NA,NA,NA,NA,NA,NA,latest
490489,NA,NA,NA,NA,NA,NA,NA,latest
490498,NA,NA,NA,NA,NA,NA,12,latest
490504,NA,NA,NA,NA,NA,NA,NA,latest
490513,NA,NA,NA,NA,NA,NA,NA,latest
490522,NA,NA,NA,NA,NA,NA,NA,latest
490531,NA,NA,NA,NA,NA,NA,NA,latest
490540,NA,NA,NA,NA,NA,NA,NA,latest
490559,25400,22200,29360,24468,25836,10137,697,latest
490601,NA,NA,NA,NA,NA,NA,NA,latest
490674,NA,NA,16071,20831,28367,NA,58,latest
490692,NA,NA,NA,NA,NA,NA,NA,latest
490717,NA,NA,NA,NA,NA,6702,44,latest
490735,NA,NA,23239,35413,NA,9500,414,latest
490744,NA,NA,NA,NA,NA,NA,NA,latest
490753,NA,NA,NA,NA,NA,NA,NA,latest
490805,38100,30800,37128,37523,39627,13767,1274,latest
490814,20800,18800,22971,26015,24995,9500,1087,latest
490832,23900,20600,23751,24384,25713,8609,1559,latest
490841,23600,20400,24270,26054,27795,8019,1098,latest
490869,26100,22600,22691,25073,26681,9500,1798,latest
490878,34800,25400,36008,34377,33317,14874,1549,latest
490896,NA,NA,NA,NA,NA,4856,101,latest
490948,NA,NA,NA,NA,NA,9500,81,latest
490975,32700,24400,27471,28131,31484,12667,1154,latest
491057,NA,NA,NA,NA,NA,NA,NA,latest
491066,NA,NA,NA,NA,NA,7500,56,latest
491075,NA,NA,NA,NA,NA,8360,47,latest
491084,NA,16600,20325,21921,22373,7480,2424,latest
491136,21300,16700,19868,20094,21154,7667,1289,latest
491145,21400,18000,18974,20704,21667,6333,1107,latest
491181,41900,37800,45905,51345,52364,16190,4375,latest
491190,NA,NA,45622,50108,56210,9500,370,latest
491215,NA,NA,NA,NA,NA,NA,NA,latest
491224,NA,NA,22556,19535,16840,8236,80,latest
491233,NA,NA,NA,NA,NA,NA,NA,latest
491242,NA,NA,NA,NA,NA,8297,49,latest
491251,NA,NA,NA,NA,NA,9500,53,latest
491260,NA,NA,NA,NA,NA,NA,26,latest
491288,46000,38000,41299,43996,49477,16500,3094,latest
491297,36500,29600,38288,41522,42164,14250,669,latest
491394,25100,27000,24053,25732,26575,10657,12213,latest
491446,NA,NA,NA,NA,NA,NA,NA,latest
491464,NA,NA,NA,NA,NA,NA,NA,latest
491473,NA,NA,NA,NA,NA,NA,NA,latest
491507,NA,NA,NA,NA,NA,NA,NA,latest
491525,NA,NA,NA,NA,NA,NA,NA,latest
491534,NA,NA,NA,NA,NA,NA,NA,latest
491543,NA,NA,NA,NA,NA,NA,NA,latest
491552,NA,NA,NA,NA,NA,NA,NA,latest
491570,NA,NA,NA,NA,NA,NA,28,latest
491589,NA,NA,NA,NA,NA,NA,24,latest
491598,NA,NA,NA,NA,NA,NA,14,latest
491613,NA,NA,NA,NA,NA,NA,NA,latest
491622,NA,NA,NA,NA,NA,NA,NA,latest
491631,NA,NA,NA,NA,NA,NA,NA,latest
491640,NA,NA,NA,NA,NA,NA,NA,latest
491659,NA,NA,NA,NA,NA,6650,51,latest
491668,NA,NA,NA,NA,NA,NA,NA,latest
491677,NA,NA,NA,NA,NA,NA,33,latest
491686,NA,NA,NA,NA,NA,15249,26,latest
491695,NA,NA,NA,NA,NA,NA,NA,latest
491701,NA,NA,NA,NA,NA,NA,17,latest
491710,NA,NA,NA,NA,NA,NA,NA,latest
491729,NA,NA,NA,NA,NA,NA,NA,latest
491738,NA,NA,NA,NA,NA,NA,NA,latest
491747,NA,NA,NA,NA,NA,NA,NA,latest
491756,NA,NA,NA,NA,NA,9854,102,latest
491765,NA,NA,NA,NA,NA,NA,NA,latest
491774,NA,NA,NA,NA,NA,9500,52,latest
491783,NA,NA,NA,NA,NA,NA,NA,latest
491792,NA,NA,NA,NA,NA,6333,41,latest
491808,NA,NA,NA,NA,NA,NA,NA,latest
491817,NA,NA,NA,NA,NA,NA,NA,latest
491826,NA,NA,NA,NA,NA,6333,58,latest
491835,NA,NA,NA,NA,NA,7917,74,latest
491844,NA,NA,NA,NA,NA,NA,NA,latest
491853,NA,NA,NA,NA,NA,NA,39,latest
491871,NA,NA,NA,NA,NA,NA,NA,latest
491880,NA,NA,NA,NA,NA,9500,51,latest
491899,NA,NA,NA,NA,NA,6332,85,latest
491905,NA,NA,NA,NA,NA,5000,73,latest
491914,NA,NA,NA,NA,NA,NA,NA,latest
491923,NA,NA,NA,NA,NA,6333,194,latest
491932,NA,NA,NA,NA,NA,NA,14,latest
491941,NA,NA,NA,NA,NA,8708,88,latest
491950,NA,NA,NA,NA,NA,6333,102,latest
491969,NA,NA,NA,NA,NA,NA,NA,latest
491978,NA,NA,NA,NA,NA,NA,51,latest
491996,NA,NA,NA,NA,NA,7800,33,latest
492005,NA,NA,NA,NA,NA,4576,22,latest
492032,NA,NA,NA,NA,NA,NA,NA,latest
492069,NA,NA,NA,NA,NA,7750,25,latest
492078,NA,NA,NA,NA,NA,NA,NA,latest
492096,NA,NA,NA,NA,NA,NA,NA,latest
